Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
binance-futures-connector-java,unit,TestCMWebsocketClientImpl,checkIndexPrice,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3
binance-futures-connector-java,unit,TestCMWebsocketClientImpl,checkPriceSymbolPairStream,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
binance-futures-connector-java,unit,TestParameterChecker,testcheckParameter,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
binance-futures-connector-java,unit,TestRequestBuilder,testPublicPostMethod,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
binance-futures-connector-java,unit,TestRequestBuilder,testPublicGetMethod,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
binance-futures-connector-java,unit,TestRequestBuilder,testPublicPutMethod,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
binance-futures-connector-java,unit,TestRequestBuilder,testPublicDeleteMethod,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
binance-futures-connector-java,unit,TestRequestBuilder,testPublicInvalidMethod,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
binance-futures-connector-java,unit,TestRequestBuilder,testPublicInvalidUrl,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
binance-futures-connector-java,unit,TestRequestBuilder,testApiKeyPostMethod,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
binance-futures-connector-java,unit,TestRequestBuilder,testApiKeyGetMethod,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
binance-futures-connector-java,unit,TestRequestBuilder,testApiKeyPutMethod,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
binance-futures-connector-java,unit,TestRequestBuilder,testApiKeyDeleteMethod,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
binance-futures-connector-java,unit,TestRequestBuilder,testApiKeyInvalidMethod,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
binance-futures-connector-java,unit,TestRequestBuilder,testApiKeyInvalidUrl,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
binance-futures-connector-java,unit,TestResponseHandler,testWith400JSONErrorMsg,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
binance-futures-connector-java,unit,TestResponseHandler,testWith400ErrorMsg,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
binance-futures-connector-java,unit,TestResponseHandler,testWith500ErrorMsg,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2
